2L52.1	NM_061228
2RSSE.1	NM_182258
2RSSE.2	NM_001025938
3R5.1	NM_067447
4R79.1	NM_001047437
4R79.1	NM_001047438
4R79.2	NM_070719
6R55.2	NM_078462
AC3.10	NM_001026168
AC3.1	NM_073264
AC3.2	NM_073265
AC3.3	NM_073266
AC3.4	NM_073267
AC3.5	NM_073268
AC3.6	NM_073269
AC3.7	NM_073270
AC3.8	NM_073271
AC7.1	NM_001026086
AC7.1	NM_001026087
AC7.2	NM_001026088
AC7.2	NM_171332
AC7.3	NM_068323
AC8.10	NM_001026208
AC8.10	NM_075641
AC8.11	NM_001026209
AC8.11	NM_075642
AC8.12	NM_001026210
AC8.12	NM_075640
AC8.3	NM_001026208
AC8.3	NM_075641
AC8.4	NM_001026209
AC8.4	NM_075642
AC8.7	NM_001026210
AC8.7	NM_075640
AH10.1	NM_074101
AH10.2	NM_074102
AH10.4	NM_074099
AH6.10	NM_063651
AH6.11	NM_063649
AH6.12	NM_063646
AH6.14	NM_063645
AH6.1	NM_063638
AH6.2	NM_063639
AH6.3	NM_063640
AH6.4	NM_063641
AH6.5	NM_063642
AH6.6	NM_063643
AH6.7	NM_063647
AH6.8	NM_063648
AH9.1	NM_076013
AH9.2	NM_076014
AH9.3	NM_076015
AH9.4	NM_076016
AH9.6	NM_001047744
B0001.1	NM_069902
B0001.2	NM_069907
B0001.3	NM_001129281
B0001.3	NM_069906
B0001.4	NM_069903
B0001.5	NM_069905
B0001.6	NM_069909
B0001.7	NM_069908
B0001.8	NM_069904
B0019.1	NM_060835
B0019.2	NM_060836
B0024.10	NM_073251
B0024.11	NM_073252
B0024.12	NM_073253
B0024.13	NM_001026170
B0024.13	NM_001026171
B0024.14	NM_001026172
B0024.14	NM_171529
B0024.14	NM_171530
B0024.14	NM_171531
B0024.14	NM_171935
B0024.15	NM_171528
B0024.1	NM_073245
B0024.2	NM_073246
B0024.3	NM_073244
B0024.4	NM_073247
B0024.6	NM_073249
B0024.8	NM_073248
B0024.9	NM_073250
B0025.1	NM_001025782
B0025.1	NM_001025783
B0025.1	NM_001025784
B0025.1	NM_001025785
B0025.1	NM_059340
B0025.2	NM_059339
B0025.4	NM_170871
B0034.1	NM_062791
B0034.2	NM_062787
B0034.3	NM_001025939
B0034.3	NM_001047257
B0034.3	NM_062788
B0034.4	NM_062790
B0034.7	NM_001026712
B0035.10	NM_069733
B0035.10	NM_069737
B0035.11	NM_069734
B0035.12	NM_069735
B0035.13	NM_069722
B0035.14	NM_069721
B0035.15	NM_069720
B0035.16	NM_069719
B0035.18	NM_001026090
B0035.1	NM_069723
B0035.1	NM_069724
B0035.2	NM_069725
B0035.3	NM_069726
B0035.4	NM_069727
B0035.5	NM_069728
B0035.6	NM_069729
B0035.7	NM_069730
B0035.7	NM_069740
B0035.7	NM_069749
B0035.8	NM_069731
B0035.9	NM_069732
B0035.9	NM_069738
B0041.2	NM_001025786
B0041.2	NM_059019
B0041.2	NM_059020
B0041.3	NM_059014
B0041.4	NM_059015
B0041.5	NM_059017
B0041.6	NM_001047161
B0041.6	NM_001047162
B0041.7	NM_001025787
B0041.8	NM_059016
B0047.1	NM_001038232
B0047.1	NM_001038233
B0047.2	NM_061761
B0047.3	NM_061762
B0047.4	NM_061763
B0198.1	NM_077613
B0198.2	NM_077612
B0198.3	NM_077614
B0205.10	NM_060403
B0205.11	NM_060409
B0205.12	NM_001025788
B0205.13	NM_001047165
B0205.14	NM_001047166
B0205.1	NM_001047163
B0205.1	NM_001047164
B0205.2	NM_001025789
B0205.2	NM_001025790
B0205.3	NM_060408
B0205.4	NM_060413
B0205.5	NM_060412
B0205.6	NM_060411
B0205.7	NM_060410
B0205.8	NM_060407
B0205.9	NM_060405
B0207.10	NM_059319
B0207.11	NM_059320
B0207.12	NM_001025791
B0207.12	NM_001025792
B0207.12	NM_001025793
B0207.1	NM_059321
B0207.2	NM_059317
B0207.3	NM_001025794
B0207.3	NM_001025795
B0207.4	NM_059313
B0207.5	NM_059311
B0207.6	NM_059312
B0207.7	NM_059315
B0207.8	NM_059316
B0207.9	NM_059318
B0212.2	NM_067972
B0212.3	NM_067968
B0212.4	NM_001026092
B0212.4	NM_067970
B0212.4	NM_171306
B0212.5	NM_067971
B0212.6	NM_001026094
B0213.10	NM_071698
B0213.11	NM_071699
B0213.12	NM_071700
B0213.14	NM_071701
B0213.15	NM_001047606
B0213.15	NM_001047607
B0213.15	NM_001047608
B0213.16	NM_071703
B0213.17	NM_171444
B0213.2	NM_071710
B0213.3	NM_071709
B0213.4	NM_071708
B0213.5	NM_071707
B0213.6	NM_071706
B0213.7	NM_071705
B0213.8	NM_071704
B0213.9	NM_071697
B0218.1	NM_068967
B0218.1	NM_182295
B0218.2	NM_068965
B0218.3	NM_068964
B0218.5	NM_068966
B0218.6	NM_068968
B0218.7	NM_068969
B0218.8	NM_068970
B0222.10	NM_171500
