ENSG00000000003	uc004ega.1
ENSG00000000005	uc004efy.4
ENSG00000000419	uc002xvw.1
ENSG00000000419	uc002xvx.1
ENSG00000000457	uc001ggs.2
ENSG00000000457	uc001ggt.2
ENSG00000000460	uc001ggj.3
ENSG00000000460	uc001ggp.3
ENSG00000000460	uc001ggq.3
ENSG00000000460	uc010plu.1
ENSG00000000938	uc001boj.3
ENSG00000000938	uc001bok.3
ENSG00000000938	uc001bol.3
ENSG00000000938	uc001bom.3
ENSG00000000971	uc001gti.4
ENSG00000000971	uc001gtj.4
ENSG00000000971	uc009wyx.3
ENSG00000001036	uc003qjm.3
ENSG00000001036	uc003qjn.3
ENSG00000001084	uc003pbw.2
ENSG00000001084	uc003pbx.3
ENSG00000001167	uc003opo.3
ENSG00000001167	uc003opp.3
ENSG00000001460	uc001bja.3
ENSG00000001460	uc001bjc.3
ENSG00000001460	uc001bjd.3
ENSG00000001461	uc001bjh.3
ENSG00000001461	uc001bji.3
ENSG00000001461	uc009vrc.3
ENSG00000001461	uc010oek.2
ENSG00000001497	uc004dwa.2
ENSG00000001497	uc004dwc.2
ENSG00000001497	uc004dwd.2
ENSG00000001561	uc003oxy.3
ENSG00000001617	uc003cyj.3
ENSG00000001617	uc003cyk.3
ENSG00000001626	uc003vjd.3
ENSG00000001629	uc003ulw.2
ENSG00000001630	uc003ulm.4
ENSG00000001630	uc011khn.2
ENSG00000001631	uc003ulr.1
ENSG00000001631	uc003uls.1
ENSG00000001631	uc003ult.1
ENSG00000001631	uc003ulu.1
ENSG00000001631	uc003ulv.1
ENSG00000002016	uc001qis.1
ENSG00000002016	uc001qit.1
ENSG00000002016	uc001qiu.1
ENSG00000002016	uc001qiv.1
ENSG00000002016	uc001qix.1
ENSG00000002016	uc010sdt.1
ENSG00000002016	uc010sdu.1
ENSG00000002330	uc001nzc.3
ENSG00000002330	uc001nzd.3
ENSG00000002549	uc003gph.1
ENSG00000002549	uc010ieg.3
ENSG00000002586	uc004cqm.3
ENSG00000002586	uc010nda.3
ENSG00000002726	uc003why.1
ENSG00000002726	uc003whz.1
ENSG00000002726	uc003wia.1
ENSG00000002745	uc003vjv.3
ENSG00000002745	uc003vjw.3
ENSG00000002746	uc003tid.1
ENSG00000002746	uc011kbi.1
ENSG00000002822	uc003sld.1
ENSG00000002822	uc003slf.1
ENSG00000002822	uc003slg.1
ENSG00000002822	uc003slh.1
ENSG00000002822	uc003sli.1
ENSG00000002822	uc010ksh.1
ENSG00000002834	uc002hra.3
ENSG00000002834	uc010wdz.2
ENSG00000002919	uc002inf.1
ENSG00000002919	uc002ing.1
ENSG00000002919	uc002inh.1
ENSG00000002919	uc010wlg.1
ENSG00000002919	uc010wlh.1
ENSG00000002919	uc010wli.1
ENSG00000002919	uc010wlj.1
ENSG00000002933	uc003whx.1
ENSG00000003056	uc001qvf.3
ENSG00000003096	uc004eqk.3
ENSG00000003096	uc004eql.3
ENSG00000003096	uc004eqm.3
ENSG00000003096	uc011mto.2
ENSG00000003096	uc011mtp.2
ENSG00000003096	uc011mtq.2
ENSG00000003096	uc022cde.1
ENSG00000003137	uc002sih.1
ENSG00000003137	uc010yra.1
ENSG00000003137	uc010yrb.1
ENSG00000003147	uc003srm.3
ENSG00000003147	uc003sro.4
ENSG00000003147	uc003srq.3
ENSG00000003147	uc003srr.3
ENSG00000003147	uc003srs.1
ENSG00000003147	uc010ktr.3
ENSG00000003249	uc002fqe.1
ENSG00000003249	uc002fqf.1
ENSG00000003393	uc002uyo.3
ENSG00000003393	uc002uyr.3
ENSG00000003400	uc002uxi.1
ENSG00000003400	uc002uxj.1
ENSG00000003400	uc002uxk.1
ENSG00000003400	uc002uxl.2
ENSG00000003400	uc002uxm.2
ENSG00000003400	uc010fta.1
ENSG00000003400	uc010ftb.2
ENSG00000003402	uc002uwy.3
ENSG00000003402	uc002uwz.3
ENSG00000003402	uc002uxb.4
ENSG00000003402	uc002uxc.4
ENSG00000003402	uc002uxd.4
ENSG00000003402	uc002uxe.2
ENSG00000003402	uc002uxf.3
ENSG00000003402	uc010fsw.2
ENSG00000003402	uc010fsx.3
ENSG00000003402	uc010zhl.2
ENSG00000003402	uc021vuw.1
ENSG00000003436	uc002upy.3
ENSG00000003436	uc002uqa.2
ENSG00000003436	uc002uqb.2
ENSG00000003509	uc002rqa.4
ENSG00000003509	uc002rqc.4
ENSG00000003509	uc010fah.3
ENSG00000003509	uc010ynj.1
ENSG00000003509	uc010ynk.2
ENSG00000003756	uc003cyf.3
ENSG00000003756	uc003cyg.3
ENSG00000003987	uc003wxm.3
ENSG00000003987	uc011kyb.2
ENSG00000003989	uc011kyc.2
ENSG00000003989	uc011kyd.2
ENSG00000003989	uc011kye.2
ENSG00000004059	uc003vmb.2
ENSG00000004139	uc002hbe.1
ENSG00000004139	uc010crl.1
ENSG00000004139	uc010waj.1
ENSG00000004142	uc010wag.2
ENSG00000004399	uc003emx.2
ENSG00000004399	uc011blb.1
ENSG00000004455	uc001bwo.2
ENSG00000004455	uc001bwp.2
ENSG00000004455	uc009vud.2
ENSG00000004468	uc003gol.1
ENSG00000004478	uc001qkz.3
ENSG00000004487	uc001bgi.2
ENSG00000004487	uc001bgj.2
ENSG00000004534	uc003cyc.3
ENSG00000004534	uc003cyd.3
ENSG00000004534	uc003cye.3
ENSG00000004534	uc010hle.2
ENSG00000004534	uc011bdi.2
ENSG00000004660	uc002fwt.3
ENSG00000004660	uc002fwu.3
